time_signature,speechiness,danceability,duration_ms,energy,track_href,mode,uri,type,track_album_release_date,analysis_url,id,instrumentalness,valence,key,tempo,loudness,acousticness,liveness,Popularity_Type
4.0,0.204,0.882,140733.0,0.764,https://api.spotify.com/v1/tracks/7iabz12vAuVQYyekFIWJxD,1.0,spotify:track:7iabz12vAuVQYyekFIWJxD,audio_features,2024-05-23,https://api.spotify.com/v1/audio-analysis/7iabz12vAuVQYyekFIWJxD,7iabz12vAuVQYyekFIWJxD,0.0,0.886,11.0,140.113,-5.241,0.359,0.119,High
4.0,0.159,0.779,246960.0,0.64,https://api.spotify.com/v1/tracks/4TsmezEQVSZNNPv5RJ65Ov,1.0,spotify:track:4TsmezEQVSZNNPv5RJ65Ov,audio_features,2005-08-29,https://api.spotify.com/v1/audio-analysis/4TsmezEQVSZNNPv5RJ65Ov,4TsmezEQVSZNNPv5RJ65Ov,0.000766,0.499,7.0,99.017,-8.415,0.000155,0.101,High
4.0,0.223,0.77,189707.0,0.597,https://api.spotify.com/v1/tracks/1AtFSBJibfaqfiOByQCwZ5,1.0,spotify:track:1AtFSBJibfaqfiOByQCwZ5,audio_features,2024-06-21,https://api.spotify.com/v1/audio-analysis/1AtFSBJibfaqfiOByQCwZ5,1AtFSBJibfaqfiOByQCwZ5,0.0,0.875,1.0,170.022,-4.901,0.53,0.239,High
5.0,0.321,0.573,172296.0,0.693,https://api.spotify.com/v1/tracks/18Crh1Nd55lRX4MVoJegO1,1.0,spotify:track:18Crh1Nd55lRX4MVoJegO1,audio_features,2024-11-08,https://api.spotify.com/v1/audio-analysis/18Crh1Nd55lRX4MVoJegO1,18Crh1Nd55lRX4MVoJegO1,0.00424,0.837,6.0,150.85,-6.22,0.609,0.196,Low
4.0,0.0315,0.714,274488.0,0.72,https://api.spotify.com/v1/tracks/42Xxh6RlXeZUNtNfbJ6A3D,1.0,spotify:track:42Xxh6RlXeZUNtNfbJ6A3D,audio_features,2020-12-24,https://api.spotify.com/v1/audio-analysis/42Xxh6RlXeZUNtNfbJ6A3D,42Xxh6RlXeZUNtNfbJ6A3D,0.0,0.696,6.0,113.015,-6.751,0.0922,0.0742,Low
3.0,0.0645,0.608,128409.0,0.136,https://api.spotify.com/v1/tracks/0NLSPdAfVk8ArLAH0XqTWJ,1.0,spotify:track:0NLSPdAfVk8ArLAH0XqTWJ,audio_features,2024-10-13,https://api.spotify.com/v1/audio-analysis/0NLSPdAfVk8ArLAH0XqTWJ,0NLSPdAfVk8ArLAH0XqTWJ,0.926,0.354,1.0,153.998,-20.155,0.882,0.115,Low
4.0,0.102,0.781,247720.0,0.726,https://api.spotify.com/v1/tracks/6wxGZ8D8lAuJpocaTAVVyL,0.0,spotify:track:6wxGZ8D8lAuJpocaTAVVyL,audio_features,2005-04-19,https://api.spotify.com/v1/audio-analysis/6wxGZ8D8lAuJpocaTAVVyL,6wxGZ8D8lAuJpocaTAVVyL,0.00204,0.961,10.0,74.995,-5.733,0.241,0.0764,Low
4.0,0.0482,0.808,169310.0,0.538,https://api.spotify.com/v1/tracks/2bcJFVllFgPVmyzE8K7Gw0,0.0,spotify:track:2bcJFVllFgPVmyzE8K7Gw0,audio_features,2021-09-17,https://api.spotify.com/v1/audio-analysis/2bcJFVllFgPVmyzE8K7Gw0,2bcJFVllFgPVmyzE8K7Gw0,0.0,0.579,9.0,121.992,-5.889,0.0979,0.0624,Low
4.0,0.0333,0.781,177818.0,0.501,https://api.spotify.com/v1/tracks/63ABAnFKJCp28TAyqf2cGL,1.0,spotify:track:63ABAnFKJCp28TAyqf2cGL,audio_features,2024-10-18,https://api.spotify.com/v1/audio-analysis/63ABAnFKJCp28TAyqf2cGL,63ABAnFKJCp28TAyqf2cGL,3.78e-06,0.961,3.0,134.014,-9.767,0.66,0.0908,High
4.0,0.0351,0.607,126316.0,0.166,https://api.spotify.com/v1/tracks/3wwUV04m85SsAqbn04dpnR,0.0,spotify:track:3wwUV04m85SsAqbn04dpnR,audio_features,2024-06-28,https://api.spotify.com/v1/audio-analysis/3wwUV04m85SsAqbn04dpnR,3wwUV04m85SsAqbn04dpnR,0.427,0.236,10.0,76.003,-19.259,0.723,0.0905,Low
